file,deleted
ABABAI_extracted.pdb,M
ABABEL_extracted.pdb,M
ABABEM_extracted.pdb,Y
ABABIP_extracted.pdb,Y
ABABOV_extracted.pdb,Y
ABABUB_extracted.pdb,Y
ABACAI_extracted.pdb,Y
ABACEM_extracted.pdb,Y
ABACIQ_extracted.pdb,Y
ABACOW_extracted.pdb,Y
ABACOX_extracted.pdb,Y
ABACUC_extracted.pdb,Y
ABADAJ_extracted.pdb,Y
ABADEN_extracted.pdb,Y
ABADIR_extracted.pdb,Y
ABADOY_extracted.pdb,Y
ABAFUG_extracted.pdb,Y
ABAGAN_extracted.pdb,Y
ABAGER_extracted.pdb,Y
ABAGES_extracted.pdb,Y
ABAGIW_extracted.pdb,Y
ABAGOB_extracted.pdb,Y
ABAHAO_extracted.pdb,Y
ABAKOF_extracted.pdb,Y
ABALEW_extracted.pdb,Y
ABALIZ_extracted.pdb,Y
ABAMEX01_extracted.pdb,Y
ABAMEX02_extracted.pdb,Y
ABAMUN_extracted.pdb,Y
ABAPEA_extracted.pdb,Y
ABAPIE_extracted.pdb,Y
ABAPOK_extracted.pdb,Y
ABAQEC_extracted.pdb,Y
ABAQIG_extracted.pdb,Y
ABAQOM_extracted.pdb,Y
ABAQUS_extracted.pdb,Y
ABASIG_extracted.pdb,Y
ABATAB_extracted.pdb,Y
ABATEF_extracted.pdb,Y
ABATIJ_extracted.pdb,Y
ABATOP_extracted.pdb,Y
ABATRG_extracted.pdb,Y
ABATUV_extracted.pdb,Y
ABAVAD_extracted.pdb,Y
ABAVEH_extracted.pdb,Y
ABAVIL_extracted.pdb,N
ABAVOR_extracted.pdb,Y
ABAVUX_extracted.pdb,Y
ABAWAE_extracted.pdb,Y
ABAWEG01_extracted.pdb,Y
ABAWEI_extracted.pdb,N
ABAWIM_extracted.pdb,Y
ABAZUA_extracted.pdb,Y
ABEDES_extracted.pdb,Y
ABEDIW_extracted.pdb,Y
ABEDOC_extracted.pdb,Y
ABEFAR_extracted.pdb,Y
ABEFIW_extracted.pdb,Y
ABEFIX_extracted.pdb,Y
ABEFOD_extracted.pdb,Y
ABEFOE_extracted.pdb,Y
ABEFOE01_extracted.pdb,Y
ABEGAR_extracted.pdb,Y
ABEGAR01_extracted.pdb,Y
ABEGAS_extracted.pdb,N
ABEGEV_extracted.pdb,Y
ABEGIZ_extracted.pdb,Y
ABEGIZ01_extracted.pdb,Y
ABEGOE_extracted.pdb,Y
ABEJIB_extracted.pdb,Y
ABEJIB01_extracted.pdb,Y
ABEJIC_extracted.pdb,Y
ABEJOI_extracted.pdb,N
ABEJUN_extracted.pdb,Y
ABEJUO_extracted.pdb,Y
ABEKID01_extracted.pdb,Y
ABEKOI_extracted.pdb,Y
ABEKUO_extracted.pdb,Y
ABEMEC_extracted.pdb,Y
ABEMIG_extracted.pdb,Y
ABEMOK_extracted.pdb,Y
ABEMOL_extracted.pdb,Y
ABEMOM_extracted.pdb,Y
ABEMUS_extracted.pdb,Y
ABENAX_extracted.pdb,Y
ABENEC_extracted.pdb,N
ABENIF_extracted.pdb,Y
ABENIF01_extracted.pdb,Y
ABENIG_extracted.pdb,Y
ABEPAZ_extracted.pdb,Y
ABEPAZ01_extracted.pdb,Y
ABEPIH_extracted.pdb,Y
ABEPIJ_extracted.pdb,Y
ABEQAA_extracted.pdb,Y
ABEQAC_extracted.pdb,Y
ABEQOO_extracted.pdb,Y
ABERAB_extracted.pdb,Y
ABEROP_extracted.pdb,Y
ABEVOS_extracted.pdb,Y
ABEVUY_extracted.pdb,Y
ABEWAF_extracted.pdb,Y
ABEWEJ_extracted.pdb,Y
ABEXOX_extracted.pdb,Y
ABEYOY_extracted.pdb,Y
ABEYOY01_extracted.pdb,Y
ABEZUE_extracted.pdb,Y
ABIBEU_extracted.pdb,Y
ABIFUP_extracted.pdb,Y
ABIGAW_extracted.pdb,Y
ABIGEA_extracted.pdb,Y
ABIGIB_extracted.pdb,Y
ABIGIE_extracted.pdb,Y
ABIGOH_extracted.pdb,N
ABIGUN_extracted.pdb,Y
ABIHAU_extracted.pdb,Y
ABIHIC_extracted.pdb,Y
ABIHIC01_extracted.pdb,Y
ABIHOI_extracted.pdb,Y
ABIKUU_extracted.pdb,N
ABILAB_extracted.pdb,N
ABILAC11_extracted.pdb,Y
ABILEC_extracted.pdb,Y
ABILEF_extracted.pdb,N
ABILIG_extracted.pdb,Y
ABILIJ_extracted.pdb,N
ABILOP_extracted.pdb,N
ABILUV_extracted.pdb,N
ABIMAC_extracted.pdb,N
ABIMEG_extracted.pdb,N
ABIMIK_extracted.pdb,N
ABIMOQ_extracted.pdb,N
ABIMUW_extracted.pdb,N
ABINAD_extracted.pdb,N
ABINEH_extracted.pdb,N
ABINIL_extracted.pdb,N
ABINOR_extracted.pdb,Y
ABINOR02_extracted.pdb,Y
ABINOR03_extracted.pdb,Y
ABINOR04_extracted.pdb,Y
ABINOR05_extracted.pdb,M
ABINUX_extracted.pdb,N
ABIPAF_extracted.pdb,N
ABIPEH_extracted.pdb,Y
ABIPEJ_extracted.pdb,N
ABIPIN_extracted.pdb,Y
ABIPOT_extracted.pdb,Y
ABIPUZ_extracted.pdb,Y
ABIQEK_extracted.pdb,N
ABIQIO_extracted.pdb,N
ABIQOU_extracted.pdb,Y
ABIRAH_extracted.pdb,Y
ABITUD_extracted.pdb,Y
ABIVAL_extracted.pdb,Y
ABIVEP_extracted.pdb,Y
ABIVIT_extracted.pdb,Y
ABIVOZ_extracted.pdb,Y
ABIWIT_extracted.pdb,Y
ABIXUF_extracted.pdb,Y
ABIYAM_extracted.pdb,Y
ABIYOC_extracted.pdb,Y
ABIYUI_extracted.pdb,Y
ABOBID_extracted.pdb,Y
ABOGUW_extracted.pdb,Y
ABOHAD_extracted.pdb,Y
ABOJOR_extracted.pdb,N
ABOKIN_extracted.pdb,Y
ABOKUY_extracted.pdb,Y
ABOLUY_extracted.pdb,N
ABOMAF_extracted.pdb,N
ABOMEJ_extracted.pdb,N
ABOMIN_extracted.pdb,N
ABOMIN01_extracted.pdb,N
ABOMUZ_extracted.pdb,N
ABOMUZ01_extracted.pdb,N
ABONAG_extracted.pdb,N
ABONEK_extracted.pdb,N
ABORAN_extracted.pdb,Y
ABORER_extracted.pdb,Y
ABOROZ_extracted.pdb,Y
ABOSAM_extracted.pdb,Y
ABOTIW_extracted.pdb,Y
ABOTOC_extracted.pdb,Y
ABOTUH_extracted.pdb,Y
ABOTUI_extracted.pdb,Y
ABOVAP_extracted.pdb,Y
ABOVAQ_extracted.pdb,Y
ABOXAS_extracted.pdb,Y
ABOYOI_extracted.pdb,Y
ABOYUN_extracted.pdb,Y
ABOZAU_extracted.pdb,Y
ABOZEY_extracted.pdb,Y
ABOZEZ_extracted.pdb,Y
ABUJOW_extracted.pdb,Y
ABUJUC_extracted.pdb,Y
ABUKAJ_extracted.pdb,Y
ABUKEN_extracted.pdb,Y
ABUQEV_extracted.pdb,Y
ABUQIZ_extracted.pdb,Y
ABUQOF_extracted.pdb,Y
ABUQUL_extracted.pdb,Y
ABURAS_extracted.pdb,Y
ABUSIB_extracted.pdb,Y
ABUSOH_extracted.pdb,Y
ABUSUN_extracted.pdb,Y
ABUTAU_extracted.pdb,Y
ABUTAV_extracted.pdb,Y
ABUTID_extracted.pdb,Y
ABUVAW_extracted.pdb,Y
ABUVAX_extracted.pdb,Y
ABUVEA_extracted.pdb,Y
ABUVEB_extracted.pdb,Y
ABUWIG_extracted.pdb,Y
ABUWOM_extracted.pdb,Y
ABUZED_extracted.pdb,Y
ABVPRO_extracted.pdb,Y
ACAFUH_extracted.pdb,Y
ACAGIW_extracted.pdb,Y
ACAGIX_extracted.pdb,Y
ACAGUJ_extracted.pdb,Y
